proto,state,recv_q,send_q,local_addr,local_port,peer_addr,peer_port,pid,process,exe,user,container,source
nl,UNCONN,0,0,uevent:systemd-network/859,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,uevent:-793147364,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,uevent:systemd/1,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,uevent:-1489579724,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,uevent:-106842952,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,uevent:-1489579724,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,uevent:-793147364,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,uevent:systemd-logind/7900,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,uevent:systemd/602,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,uevent:systemd-network/859,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,uevent:-1570762757,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,uevent:systemd/1,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,genl:kernel,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,genl:systemd-network/859,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,rdma:kernel,,*,,,,,,,ss_-ap.txt
