depth,tree,pid,ppid,user,start_utc,elapsed,container,children,hidden,cmdline,note
1,* accounts-daemon,1065,1,root,2021-10-09 15:06:25,60-03:45:07,,,,/usr/lib/accountsservice/accounts-daemon,
1,* agetty,1084,1,root,2021-10-09 15:06:25,60-03:45:07,,,,"/sbin/agetty -o -p -- \u --keep-baud 115200,38400,9600 ttyS0 vt220",
1,* agetty,1103,1,root,2021-10-09 15:06:25,60-03:45:07,,,,/sbin/agetty -o -p -- \u --noclear tty1 linux,
1,* sshd,1106,1,root,2021-10-09 15:06:26,60-03:45:06,,1,,/usr/sbin/sshd -D,
2,** sshd,4092,1106,root,2021-12-08 16:12:06,02:39:26,,1,,sshd: azureuser [priv],
3,*** sshd,4204,4092,azureus+,2021-12-08 16:12:25,02:39:07,,1,,sshd: azureuser@pts/0,
4,**** bash,4205,4204,azureus+,2021-12-08 16:12:25,02:39:07,,1,,-bash,
5,***** sudo,9303,4205,root,2021-12-08 16:17:57,02:33:35,,1,,sudo su,
6,****** su,9314,9303,root,2021-12-08 16:17:57,02:33:35,,1,,su,
7,******* bash,9331,9314,root,2021-12-08 16:17:59,02:33:33,,1,,bash,
8,******** uac,6445,9331,root,2021-12-08 18:50:50,00:42,,1,,/bin/sh ./uac -p full -o linux output,
9,********* uac,6991,6445,root,2021-12-08 18:51:16,00:16,,3,,/bin/sh ./uac -p full -o linux output,
10,********** statx,7477,6991,,,,,,,,
10,********** ps,7566,6991,root,,,,,,ps -efl,
10,********** pstree,,,,,,,,,,in the pstree drawing only - no artifact gave it a PID
1,* polkitd,1124,1,root,2021-10-09 15:06:26,60-03:45:06,,,,/usr/lib/policykit-1/polkitd --no-debug,
1,* auoms,4148,1,root,2021-12-05 14:59:17,3-03:52:15,,1,,/opt/microsoft/auoms/bin/auoms,
2,** auomscollect,494,4148,root,2021-12-08 16:54:37,01:56:55,,,,/opt/microsoft/auoms/bin/auomscollect -n,
1,* hv_kvp_daemon,7777,1,root,2021-11-30 07:03:41,8-11:47:51,,,,/usr/lib/linux-tools/5.4.0-1059-azure/hv_kvp_daemon -n,
1,* systemd-logind,7900,1,root,2021-11-18 10:48:34,20-08:02:58,,,,/lib/systemd/systemd-logind,
1,* bash,15851,1,daemon,2021-11-30 16:19:28,8-02:32:04,,1,,/bin/bash,
2,** sh,15853,15851,daemon,2021-11-30 16:19:28,8-02:32:04,,1,,sh,
3,*** sleep,6830,15853,daemon,2021-12-08 18:51:09,00:23,,,,sleep 30,
1,* sh,20645,1,daemon,2021-11-14 01:26:25,24-17:25:07,,1,,sh .src.sh,
2,** sleep,6388,20645,daemon,2021-12-08 18:50:45,00:47,,,,sleep 300,
1,* bash,21783,1,daemon,2021-11-30 16:27:39,8-02:23:53,,1,,/bin/bash,
2,** sh,21785,21783,daemon,2021-11-30 16:27:39,8-02:23:53,,1,,sh,
3,*** sleep,6803,21785,daemon,2021-12-08 18:51:07,00:25,,,,sleep 30,
1,* omiserver,22096,1,root,2021-12-05 08:25:38,3-10:25:54,,2,,/opt/omi/bin/omiserver -d,
2,** omiengine,22101,22096,omi,2021-12-05 08:25:38,3-10:25:54,,,,/opt/omi/bin/omiengine -d --logfilefd 3 --socketpair 9,
2,** omiagent,22182,22096,root,2021-12-05 08:25:55,3-10:25:37,,,,/opt/omi/bin/omiagent 9 10 --destdir / --providerdir /opt/omi/lib --loglevel WARNING,
1,* agettyd,24330,1,daemon,2021-12-05 08:28:02,3-10:23:30,,,,agettyd -c noresetd,
1,* filebeat,27359,1,root,2021-11-19 01:05:40,19-17:45:52,,,,/usr/share/filebeat/bin/filebeat --environment systemd -c /etc/filebeat/filebeat.yml --path.home /usr/share/filebeat --path.config /etc/filebeat --path.data ...,
1,* python3,27371,1,root,2021-11-19 01:10:10,19-17:41:22,,1,,/usr/bin/python3 -u /usr/sbin/waagent -daemon,
2,** python3,27968,27371,root,2021-11-19 01:32:03,19-17:19:29,,,,python3 -u bin/WALinuxAgent-198.18.11.65-py2.7.egg -run-exthandlers,
1,* systemd-journal,27623,1,root,2021-11-19 01:31:32,19-17:20:00,,,,/lib/systemd/systemd-journald,
1,* rsyslogd,31957,1,syslog,2021-11-19 01:35:35,19-17:15:57,,,,/usr/sbin/rsyslogd -n,
0,kthreadd,2,0,root,2021-10-09 15:06:07,60-03:45:25,,84,,[kthreadd],
1,* rcu_gp,3,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[rcu_gp],
