timestamp_utc,kind,user,source_host,source_ip,port,terminal,service,method,detail,logged_by,source
2021-12-01 07:27:58,failed login,user,198.18.3.148,198.18.3.148,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:29:00,failed login,user,198.18.3.148,198.18.3.148,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:29:37,failed login,user,198.18.0.12,198.18.0.12,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:30:04,failed login,user,198.18.3.148,198.18.3.148,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:31:06,failed login,user,198.18.3.148,198.18.3.148,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 07:32:10,failed login,user,198.18.3.148,198.18.3.148,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 08:00:42,failed login,user,198.18.0.12,198.18.0.12,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 08:22:39,failed login,user,198.18.0.119,198.18.0.119,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 08:23:43,failed login,user,198.18.0.119,198.18.0.119,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 09:54:23,failed login,user,198.18.0.127,198.18.0.127,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 09:59:58,failed login,user,198.18.3.146,198.18.3.146,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 10:01:19,failed login,user,198.18.3.146,198.18.3.146,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 10:02:39,failed login,user,198.18.3.146,198.18.3.146,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 10:04:00,failed login,user,198.18.3.146,198.18.3.146,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 10:05:21,failed login,user,198.18.3.146,198.18.3.146,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 10:06:42,failed login,user,198.18.3.146,198.18.3.146,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 10:08:00,failed login,user,198.18.3.146,198.18.3.146,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-01 10:09:19,failed login,user,198.18.3.146,198.18.3.146,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
