path,host_path,top_level,category,size_bytes,size_human,parsed_into
[root]/etc/apparmor.d/tunables/xdg-user-dirs.d/site.local,/etc/apparmor.d/tunables/xdg-user-dirs.d/site.local,[root],host filesystem copy,751,751 B,
[root]/etc/apparmor.d/usr.bin.lxc-start,/etc/apparmor.d/usr.bin.lxc-start,[root],host filesystem copy,130,130 B,MAC_POLICY
[root]/etc/apparmor.d/usr.bin.man,/etc/apparmor.d/usr.bin.man,[root],host filesystem copy,2952,2.9 KB,MAC_POLICY
[root]/etc/apparmor.d/usr.lib.snapd.snap-confine.real,/etc/apparmor.d/usr.lib.snapd.snap-confine.real,[root],host filesystem copy,27494,26.8 KB,MAC_POLICY
[root]/etc/apparmor.d/usr.sbin.rsyslogd,/etc/apparmor.d/usr.sbin.rsyslogd,[root],host filesystem copy,1608,1.6 KB,MAC_POLICY
[root]/etc/apparmor.d/usr.sbin.tcpdump,/etc/apparmor.d/usr.sbin.tcpdump,[root],host filesystem copy,1416,1.4 KB,MAC_POLICY
[root]/etc/apparmor/parser.conf,/etc/apparmor/parser.conf,[root],host filesystem copy,1537,1.5 KB,ETC_CONFIGS
[root]/etc/apparmor/subdomain.conf,/etc/apparmor/subdomain.conf,[root],host filesystem copy,2015,2.0 KB,ETC_CONFIGS
[root]/etc/apport/blacklist.d/README.blacklist,/etc/apport/blacklist.d/README.blacklist,[root],host filesystem copy,221,221 B,
[root]/etc/apport/blacklist.d/apport,/etc/apport/blacklist.d/apport,[root],host filesystem copy,25,25 B,
[root]/etc/apport/crashdb.conf,/etc/apport/crashdb.conf,[root],host filesystem copy,1254,1.2 KB,
[root]/etc/apt/apt.conf.d/01-vendor-ubuntu,/etc/apt/apt.conf.d/01-vendor-ubuntu,[root],host filesystem copy,43,43 B,INIT_AND_PROFILE
[root]/etc/apt/apt.conf.d/01autoremove,/etc/apt/apt.conf.d/01autoremove,[root],host filesystem copy,1077,1.1 KB,INIT_AND_PROFILE
[root]/etc/apt/apt.conf.d/01autoremove-kernels,/etc/apt/apt.conf.d/01autoremove-kernels,[root],host filesystem copy,4026,3.9 KB,INIT_AND_PROFILE
[root]/etc/apt/apt.conf.d/10periodic,/etc/apt/apt.conf.d/10periodic,[root],host filesystem copy,132,132 B,INIT_AND_PROFILE
